Año,Clave,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2015,9002,La familia,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,3,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,5.0,3.0
2015,9002,La familia,Otros delitos contra la familia,Otros delitos contra la familia,Otros delitos contra la familia,4,1.0,5.0,6.0,3.0,3.0,5.0,7.0,4.0,4.0,2.0,2.0
2015,9002,La sociedad,Corrupción de menores,Corrupción de menores,Corrupción de menores,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
2015,9002,La sociedad,Trata de personas,Trata de personas,Trata de personas,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9002,La sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2015,9002,Otros bienes jurídicos afectados (del fuero común),Narcomenudeo,Narcomenudeo,Narcomenudeo,3,4.0,4.0,8.0,2.0,1.0,1.0,7.0,6.0,7.0,4.0,9.0
2015,9002,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,24,39.0,50.0,39.0,43.0,60.0,61.0,44.0,49.0,46.0,48.0,39.0
2015,9002,Otros bienes jurídicos afectados (del fuero común),Allanamiento de morada,Allanamiento de morada,Allanamiento de morada,1,4.0,4.0,0.0,2.0,4.0,2.0,4.0,3.0,3.0,7.0,2.0
2015,9002,Otros bienes jurídicos afectados (del fuero común),Evasión de presos,Evasión de presos,Evasión de presos,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9002,Otros bienes jurídicos afectados (del fuero común),Falsedad,Falsedad,Falsedad,1,1.0,1.0,0.0,2.0,1.0,3.0,0.0,3.0,2.0,1.0,1.0
2015,9002,Otros bienes jurídicos afectados (del fuero común),Falsificación,Falsificación,Falsificación,4,4.0,12.0,15.0,22.0,11.0,31.0,25.0,27.0,22.0,34.0,22.0
2015,9002,Otros bienes jurídicos afectados (del fuero común),Contra el medio ambiente,Contra el medio ambiente,Contra el medio ambiente,2,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0
2015,9002,Otros bienes jurídicos afectados (del fuero común),Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,9,16.0,16.0,16.0,8.0,11.0,8.0,6.0,11.0,14.0,11.0,10.0
2015,9002,Otros bienes jurídicos afectados (del fuero común),Electorales,Electorales,Electorales,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9002,Otros bienes jurídicos afectados (del fuero común),Otros delitos del Fuero Común,Otros delitos del Fuero Común,Otros delitos del Fuero Común,20,34.0,30.0,44.0,23.0,31.0,43.0,39.0,35.0,60.0,42.0,30.0
2015,9003,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2015,9003,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
2015,9003,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0
2015,9003,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9003,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma de fuego,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2015,9003,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma blanca,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9003,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,2,5.0,1.0,4.0,4.0,5.0,2.0,2.0,1.0,2.0,3.0,1.0
2015,9003,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9003,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9003,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma de fuego,2,2.0,1.0,4.0,0.0,4.0,2.0,4.0,3.0,2.0,5.0,2.0
2015,9003,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma blanca,3,1.0,1.0,3.0,6.0,1.0,0.0,0.0,2.0,1.0,4.0,2.0
2015,9003,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,13,12.0,9.0,14.0,14.0,18.0,15.0,14.0,21.0,23.0,15.0,12.0
2015,9003,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,No especificado,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9003,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma de fuego,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9003,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma blanca,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9003,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,19,40.0,29.0,17.0,25.0,24.0,28.0,27.0,16.0,39.0,20.0,15.0
2015,9003,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con otro elemento,2,4.0,5.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,6.0,7.0
2015,9003,La vida y la Integridad corporal,Lesiones,Lesiones culposas,No especificado,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9003,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma de fuego,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9003,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma blanca,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015,9003,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con otro elemento,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9003,La vida y la Integridad corporal,Feminicidio,Feminicidio,No especificado,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
